,Final value,Ann. return,Ann. std,Sharpe,Max drawdown
a2c,1355734.556649,0.258127,0.155773,1.552359,-0.094612
ddpg,1304945.669879,0.222400,0.130885,1.600210,-0.086064
ppo,1091324.236576,0.068159,0.155573,0.501731,-0.125988
td3,1453022.483780,0.325663,0.159764,1.845069,-0.087162
sac,1405826.379430,0.293043,0.195534,1.412263,-0.137836
mvo,1528623.186210,0.375784,0.197610,1.714101,-0.137663
dji,1388401.010297,0.296989,0.141187,1.913219,-0.089308
