,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,88.4850082397461,89.27481431029784,88.43640923902939,88.73045803796369,110737200.0,2.0,2.967003799059455,91.23560383888787,78.91390864280157,62.807147075668475,107.47216211571346,29.81126132915504,82.60845514933268,76.49038530985514,28.6200008392334,53.0680382045823
0,2020-07-01,AMGN,218.33641052246094,219.2863826341326,199.04626736831872,201.56237583597945,6575800.0,2.0,3.3060328784541753,211.28454390730545,182.0239689711125,61.27964223619649,272.79498531680775,47.00998729269149,195.33914845784506,196.3146733601888,28.6200008392334,53.0680382045823
0,2020-07-01,AXP,88.49398040771484,91.23206784577562,88.10819779352576,89.62308729746817,3301000.0,2.0,-0.37398138107479895,106.11618093271204,84.33573938589149,48.504814063683376,-62.63834925882511,1.7521070981263789,93.45101318359374,87.15739084879557,28.6200008392334,53.0680382045823
0,2020-07-01,BA,180.32000732421875,190.61000061035156,180.0399932861328,185.8800048828125,49036700.0,2.0,5.44319347756678,220.72113910565707,160.932863274714,50.92577107849398,24.220608346258853,15.93644015023368,176.4723347981771,155.6141675313314,28.6200008392334,53.0680382045823
0,2020-07-01,CAT,113.82455444335938,116.84036915354248,113.66202505312376,116.82232028301235,2807800.0,2.0,1.200617626592134,123.2329113270635,106.93903310042674,52.86541668608225,35.36622754184302,14.542210584447718,112.65585835774739,107.21597404479981,28.6200008392334,53.0680382045823
0,2020-07-01,CRM,190.22314453125,191.14507394036815,185.83163304176185,186.46607306877857,4754600.0,2.0,4.1558464389399035,193.37721202106516,167.57096302776299,58.104313771683906,139.9524636487395,29.22570319824335,178.62611440022786,169.46356786092122,28.6200008392334,53.0680382045823
0,2020-07-01,CSCO,39.54501724243164,40.1116630211495,39.493502798866324,39.957122965578705,17129500.0,2.0,0.2477375748336499,41.57818706727836,37.57538615965036,53.16054425664427,18.696313630179176,13.443276367657766,39.52985153198242,37.92134952545166,28.6200008392334,53.0680382045823
0,2020-07-01,CVX,70.3694076538086,72.89923186814718,70.31318947409711,71.70258425581882,6379400.0,2.0,-0.9220865850059283,82.20763240667877,66.4844986358017,47.82917266366731,-93.28428791735892,8.373869734190244,74.45408630371094,72.17488975524903,28.6200008392334,53.0680382045823
0,2020-07-01,DIS,111.6309585571289,114.1893495702505,110.91974339997402,111.44327468613132,11930900.0,2.0,-0.9581241256197472,125.69830955865646,105.14592643377517,49.23569498975859,-76.9577462874031,1.5591587380973149,116.19655049641928,110.02001965840658,28.6200008392334,53.0680382045823
0,2020-07-01,GS,175.23390197753906,177.15857289079355,173.41566023786106,176.39579890148218,2620100.0,2.0,0.549501513767467,197.42478345814575,166.20617815074095,50.96275779253586,-34.04191469271818,4.024926521178254,178.93293355305988,168.26979446411133,28.6200008392334,53.0680382045823
